DATA_ID,CONFIRMED,DEATHS,RECOVERED,ACTIVE
1,36263,1269,25198,9796
2,4880,144,2745,1991
3,27973,1163,18837,7973
4,907,52,803,52
5,950,41,242,667
6,86,3,65,18
7,167416,3059,72575,91782
8,37390,711,26665,10014
9,15303,167,9311,5825
10,20558,713,18246,1599
11,30446,423,23242,6781
12,382,11,91,280
13,39482,141,36110,3231
14,226225,2965,125683,97577
15,110,7,94,9
16,67251,538,60492,6221
17,66428,9822,17452,39154
18,48,2,26,20
19,1770,35,1036,699
20,99,0,86,13
21,71181,2647,21478,47056
22,10498,294,4930,5274
23,739,2,63,674
24,2442375,87618,1846641,508116
25,141,3,138,0
26,10621,347,5585,4689
27,1100,53,926,121
28,350,6,292,52
29,378,1,301,76
30,2328,22,1550,756
31,226,0,147,79
32,17110,391,14539,2180
33,116458,8944,0,107514
34,4599,59,1546,2994
35,922,75,810,37
36,347923,9187,319954,18782
37,86783,4656,78869,3258
38,257101,8777,131161,117163
39,354,7,328,19
40,3200,54,829,2317
41,8844,208,5700,2936
42,15841,115,3824,11902
43,15655,96,10361,5198
44,4881,139,3936,806
45,2532,87,2351,94
46,1060,19,852,189
47,15516,373,11428,3715
48,13761,613,12605,543
49,5059,58,4977,24
50,18,0,18,0
51,64156,1083,30204,32869
52,81161,5532,34896,40733
53,92482,4652,34838,52992
54,15035,408,7778,6849
55,3071,51,842,2178
56,265,0,191,74
57,2034,69,1923,42
58,2316,34,1025,1257
59,14547,228,6386,7933
60,27,0,18,9
61,7398,329,6920,149
62,220352,30212,81212,108928
63,7189,49,4682,2458
64,326,8,66,252
65,1137,16,922,199
66,207112,9125,190314,7673
67,33624,168,29801,3655
68,4227,202,1374,2651
69,14,0,13,1
70,23,0,23,0
71,45309,1761,32455,11093
72,7055,45,6257,753
73,1954,26,803,1125
74,389,20,181,188
75,7340,158,4365,2817
76,12,0,12,0
77,39741,1166,5039,33536
78,4448,596,3329,523
79,1854,10,1823,21
80,1480073,33408,951166,495499
81,100303,4838,58173,37292
82,293606,15912,255144,22550
83,112585,4458,77144,30983
84,25892,1764,23364,764
85,63985,474,27133,36378
86,246286,35112,198593,12581
87,853,10,714,129
88,31142,998,21970,8174
89,1176,11,1041,124
90,84648,585,54404,29659
91,17975,285,7833,9857
92,7413,185,4027,3201
93,64379,438,55057,8884
94,33296,1301,21205,10790
95,20,0,19,1
96,1219,31,1045,143
97,3882,51,1709,2122
98,505,12,128,365
99,1167,72,646,449
100,2827,64,577,2186
101,86,1,81,4
102,2019,80,1620,319
103,6321,112,4825,1384
104,9690,91,6260,3339
105,3664,99,1645,1920
106,8904,124,8601,179
107,3369,15,2547,807
108,2513,124,1913,476
109,701,9,665,27
110,6208,156,4653,1399
111,344,10,332,2
112,395489,44022,303810,47657
113,23154,748,16154,6252
114,116,4,104,8
115,289,0,222,67
116,2893,45,809,2039
117,20887,316,16553,4018
118,1701,11,0,1690
119,1843,8,101,1734
120,18752,48,13754,4950
121,53413,6160,189,47064
122,1557,22,1514,21
123,3439,108,2492,839
124,1132,69,1027,36
125,41180,860,18203,22117
126,10213,466,5564,4183
127,9132,255,8752,125
128,77058,393,57028,19637
129,274289,5842,241026,27421
130,61442,1322,35086,25034
131,62,0,11,51
132,4548,43,2905,1600
133,389717,18418,272547,98752
134,82040,1945,26446,53649
135,43402,1676,32856,8870
136,50299,1719,35375,13205
137,109597,165,106328,3104
138,45902,2206,25794,17902
139,816680,13334,602249,201097
140,1879,5,975,899
141,17,0,15,2
142,24,0,22,2
143,52,0,39,13
144,699,42,657,0
145,865,14,734,117
146,268934,2760,222936,43238
147,9764,194,6477,3093
148,24141,543,0,23598
149,114,0,39,75
150,1783,66,1317,400
151,50838,27,45692,5119
152,2181,28,1616,537
153,2087,116,1733,238
154,3196,93,1543,1560
155,452529,7067,274925,170537
156,14203,300,13007,896
157,2305,46,1175,1084
158,272421,28432,150376,93613
159,2805,11,2121,673
160,11424,720,5939,4765
161,1483,24,925,534
162,79395,5700,0,73695
163,34477,1978,30900,1599
164,674,40,0,634
165,462,7,440,15
166,7235,60,6028,1147
167,509,21,183,305
168,3297,58,3111,128
169,24,0,0,24
170,874,18,607,249
171,148,8,128,12
172,1455,50,1157,248
173,227019,5630,210469,10920
174,4290259,148011,1325804,2816444
175,1128,2,986,140
176,67096,1636,37202,28258
177,59177,345,52510,6322
178,301708,45844,1437,254427
179,1202,35,951,216
180,21209,121,11674,9414
181,15988,146,9959,5883
182,431,0,365,66
183,10621,78,3752,6791
184,10,1,8,1
185,1691,483,833,375
186,4552,140,2815,1597
187,2704,36,542,2126
